word,root_word,root_definition,word_id,is_root,pos,wordnet_polysemy_count,wordnet_definitions,exclude_yutao,exclude_final,pos_tag
tender,tenderness,warm compassionate feelings,1445,False,noun,18,"something that can be used as an official medium of payment
someone who waits on or tends to or attends to the needs of another
a formal proposal to buy at a specified price
car attached to a locomotive to carry fuel and water
a boat for communication between ship and shore
ship that usually provides supplies to other ships
offer or present for acceptance
propose a payment
make a tender of; in legal settlements
make tender or more tender as by marinating, pounding, or applying a tenderizer
given to sympathy or gentleness or sentimentality
hurting
young and immature
having or displaying warmth or affection
easy to cut or chew
physically untoughened
(used of boats) inclined to heel over easily under sail
(of plants) not hardy; easily killed by adverse growing condition",1.0,1.0,NN
tendering,tenderness,warm compassionate feelings,1449,False,verb,4,"offer or present for acceptance
propose a payment
make a tender of; in legal settlements
make tender or more tender as by marinating, pounding, or applying a tenderizer",1.0,1.0,VBG
tenderization,tenderness,warm compassionate feelings,1450,False,noun,1,the act of making meat tender by pounding or marinating it,1.0,1.0,NN
tenderize,tenderness,warm compassionate feelings,1452,False,verb,1,"make tender or more tender as by marinating, pounding, or applying a tenderizer",1.0,1.0,VB
tenderizer,tenderness,warm compassionate feelings,1454,False,noun,1,a substance (as the plant enzyme papain) applied to meat to make it tender,1.0,1.0,NN
tenderizing,tenderness,warm compassionate feelings,1457,False,verb,1,"make tender or more tender as by marinating, pounding, or applying a tenderizer",1.0,1.0,VBG
tenderly,tenderness,warm compassionate feelings,1458,False,adverb,1,with tenderness; in a tender manner,,,RB
tenderness,tenderness,warm compassionate feelings,1435,True,noun,5,"a tendency to express warm and affectionate feeling
a pain that is felt (as when the area is touched)
warm compassionate feelings
a positive feeling of liking
a feeling of concern for the welfare of someone (especially someone defenseless)",,,NN
tending,tenderness,warm compassionate feelings,1463,False,noun,5,"the work of providing treatment for or attending to someone or something
have a tendency or disposition to do or be something; be inclined
have care of or look after
manage or run
(usually followed by `to') naturally disposed toward",1.0,1.0,VBG
terrify,terror,an overwhelming feeling of fear and anxiety,1489,False,verb,1,fill with terror; frighten greatly,,,NN
terrifying,terror,an overwhelming feeling of fear and anxiety,1490,False,verb,2,"fill with terror; frighten greatly
causing extreme terror",,,VBG
terror,terror,an overwhelming feeling of fear and anxiety,1486,True,noun,4,"an overwhelming feeling of fear and anxiety
a person who inspires fear or dread
a very troublesome child
the use of extreme fear in order to coerce people (especially for political reasons)",,,NN
terrorisation,terror,an overwhelming feeling of fear and anxiety,1492,False,noun,2,"the act of inspiring with fear
an act of terrorism",,,NN
terrorise,terror,an overwhelming feeling of fear and anxiety,1494,False,verb,2,"coerce by violence or with threats
fill with terror; frighten greatly",,,NN
terrorism,terror,an overwhelming feeling of fear and anxiety,1495,False,noun,1,the calculated use of violence (or the threat of violence) against civilians in order to attain goals that are political or religious or ideological in nature; this is done through intimidation or coercion or instilling fear,1.0,1.0,NN
